comment_id,parent_id,is_reply,author,text,like_count,published_at,updated_at
UgwqxfbHzfSg9c0WFHV4AaABAg,,False,@phamphamrin,I miss them aaaa,1,2025-04-20T06:16:37Z,2025-04-20T06:16:37Z
UgwkRSMk4Hu5KTdcC714AaABAg,,False,@Rita_u8h,Minji,1,2025-04-13T01:33:29Z,2025-04-13T01:33:29Z
UgwRtbA3qUn7ZrhEKVR4AaABAg,,False,@njz-323-27,와 혜인이 존예,2,2024-11-17T17:25:47Z,2024-11-17T17:25:47Z
UgzaVU5FYc__XZYpbJ94AaABAg,,False,@우비1004,💙🩷💛💚💜,2,2024-11-05T06:43:44Z,2024-11-05T06:43:44Z
UgwJiP5sIOvzdZB0KMF4AaABAg,,False,@anodami8462,이때도 애들이 마음이 불편한 상태였을거 아냐,10,2024-09-20T13:57:22Z,2024-09-20T13:57:22Z
Ugw5-betUXCxtiLMyPN4AaABAg,,False,@tbhedits,2:06,1,2024-09-08T14:49:48Z,2024-09-08T14:49:48Z
UgwpbnJnI3a02RhkHwF4AaABAg,,False,@tbhedits,2:08,1,2024-09-08T14:49:34Z,2024-09-08T14:49:34Z
Ugy8t2am35ipnJl2ZjV4AaABAg,,False,@융합지식,해린이의 Verse 전달력이 좋음,0,2024-08-27T17:49:22Z,2024-08-27T17:49:22Z
Ugz90FDwZoKBRcuFvBF4AaABAg,,False,@lucia98377,10:02,0,2024-08-16T23:42:05Z,2024-08-16T23:42:05Z
Ugzh_-Eqf0-1CXBTAIF4AaABAg,,False,@soosenn_suzanne,2:27,0,2024-08-05T14:05:30Z,2024-08-05T14:05:30Z
Ugzh_-Eqf0-1CXBTAIF4AaABAg.A6l7bOsFdrAA6l7jUSTbWK,Ugzh_-Eqf0-1CXBTAIF4AaABAg,True,@soosenn_suzanne,3:22,1,2024-08-05T14:06:36Z,2024-08-05T14:06:36Z
UgyIdDjPkixDxnnj3dt4AaABAg,,False,@gaeko0425,힘내라 혜인아,18,2024-07-29T17:48:15Z,2024-07-29T17:48:15Z
UgzyF2lnUCrR6vSpVgB4AaABAg,,False,@차진규-i3m,막내즈가 제일 차분^^,2,2024-07-23T15:39:52Z,2024-07-23T15:39:52Z
Ugyerrkyu2FaljA9yL14AaABAg,,False,@insu-zm7go,뮤비만 보고 음악만 듣고있다가.. 리뷰영상 보니까 재미있네요~😆💙💖💛💚💜,1,2024-07-19T15:07:43Z,2024-07-19T15:07:43Z
UgxuZthnXmTI6iMo6-J4AaABAg,,False,@SharonChen-sr5nk,"Welcome to Taiwan, I hope to see you again in Taiwan as soon as possible!!!!",0,2024-07-16T05:35:27Z,2024-07-16T05:35:27Z
Ugy03sjIb_Oqt3C8Ev14AaABAg,,False,@r.adriannohf9519,La barriga del lagarto😂,0,2024-07-15T05:17:23Z,2024-07-15T05:17:23Z
Ugx8AQCbd4Tks5snjKF4AaABAg,,False,@taeja-m3v,민지 옷 예쁘다,0,2024-07-14T14:19:58Z,2024-07-14T14:19:58Z
Ugy5uW3Ww5tYbxn9gZl4AaABAg,,False,@wavetooearth,everyone is cuteness overload! :)),0,2024-07-09T04:44:29Z,2024-07-09T04:44:29Z
UgzwQaZWngWeWkGM1x94AaABAg,,False,@soha0-n6b,5:14   하트처럼보여요.  왠간해서 그냥 넘어가는데...'어디가?'    아닌건 아닌 멤버들.....,0,2024-07-08T17:28:06Z,2024-07-08T17:28:06Z
UgxNA1ISF7bTHcsenhZ4AaABAg,,False,@꼬미-h9d,9:41 서이쫘나~ 어떠케졸아... 푸킇ㅎㅎㅎ 이장면 넘 좋음 ㅎㅎㅎㅎㅎㅎㅎ,0,2024-07-05T11:08:48Z,2024-07-05T11:08:48Z
UgyWgXoQJvSM_B1ZV1F4AaABAg,,False,@ciciwu407,台灣下雨很難得,0,2024-06-29T09:44:49Z,2024-06-29T09:44:49Z
UgxyvafKqNcaEcOuptx4AaABAg,,False,@서린띠-f6g,0:35 해린 반응 진짜 넘 기엽고 넘 웃ㄱ네ㅋㅋ,1,2024-06-27T03:28:38Z,2024-06-27T03:28:38Z
Ugy4mKZh4iBq5UCyaAp4AaABAg,,False,@constantnine99,Lala is around the world haha,0,2024-06-25T11:04:50Z,2024-06-25T11:04:50Z
UgytLPUUkAb4mGT3O394AaABAg,,False,@오곡밥-l6c,2:07,0,2024-06-22T18:18:40Z,2024-06-22T18:18:40Z
